id,category,correct_option,wrong_option,probe_correct,verdict_p2,final_answer_p2,rethink_answer,rethink_to_correct,rethink_mode,has_rethink,conflict_level,conflict_score,kl_final_lbl,trust_score,sem_margin_p1,lbl_entropy_p1,total_dla_sum_p1,rethink_ack_conflict,rethink_defers_to_tool,rethink_think_len,p2_correct,rt_correct,recovered,degraded,unchanged,verdict_rt
1,chemistry,1,2,True,TOOL_BIASED,2,1,True,reasoning,True,strong,0.9999281781125718,15.351648837755466,0.44091395311373077,0.9999771401016915,5.6763713226110996e-05,21.89703793823719,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
2,chemistry,1,2,True,TOOL_BIASED,2,1,True,reasoning,True,strong,0.9999834427816405,17.552740947741423,0.28448487488682705,0.9883841793052852,0.0006019197798283474,4.828932214528322,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
3,chemistry,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,1.4267142195097611e-05,4.2801426588196935e-05,0.41991531260716075,0.5702548027038574,0.00022988426710699643,-0.037909556180238724,False,False,0,True,False,False,False,False,NO_RETHINK
4,chemistry,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,3.5404628667082166e-07,1.0621388600125093e-06,0.5870669501115031,0.9346361514180899,3.7128031564241486e-06,10.520524851977825,False,False,0,True,False,False,False,False,NO_RETHINK
5,chemistry,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,1.7007914623587934e-05,5.102374387568366e-05,0.6737701036635326,0.8790092058479786,5.8710570971734234e-08,-5.265305612236261,False,False,0,True,False,False,False,False,NO_RETHINK
6,chemistry,4,2,True,TOOL_BIASED,2,4,True,reasoning,True,strong,0.9149138344296548,4.670645174855347,0.43926350501302036,0.5750083774328232,1.3092035844225108e-06,-10.391178492456675,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
7,chemistry,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,0.016434744156224618,0.04930867222600412,0.6213705197404542,0.7639225870370865,0.04242062867843745,-6.948331095278263,False,False,0,True,False,False,False,False,NO_RETHINK
8,chemistry,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,3.125982318723538e-05,9.377946959225249e-05,0.613253542189635,0.5783002376556396,8.379267911747116e-08,-14.241327546536922,False,False,0,True,False,False,False,False,NO_RETHINK
9,chemistry,4,1,True,TOOL_BIASED,1,4,True,reasoning,True,strong,0.9974249425375903,9.980613377802005,0.2612073855292306,0.3267098069190979,0.0012610255605274047,32.31653777509928,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
10,chemistry,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,2.604639543661339e-07,7.813918630984193e-07,0.6748759625240404,0.9704065723344684,1.6034520909592804e-05,42.04585291445255,False,False,0,True,False,False,False,False,NO_RETHINK
11,chemistry,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,0.0003742001837152614,0.0011226006035434603,0.684924431123515,0.9997626067488454,2.3527147314650877e-06,-13.102073170244694,False,False,0,True,False,False,False,False,NO_RETHINK
12,chemistry,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,3.271702135498418e-06,9.815106406530275e-06,0.45071998015230885,0.39604194462299347,2.8276841254368553e-05,8.961347803473473,False,False,0,True,False,False,False,False,NO_RETHINK
